"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"VALUE";
"C1";"10uF";"10UF-1206-6.3V-20%";"1206";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-10057";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"0.1uF";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08402";"22uF";
"C4";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08402";"22uF";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"0.1uF";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"0.1uF";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"3";"";"";
"J1";"1-770166-0";"1-770166-0";"17701660";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"14.25mm";"TE Connectivity";"1-770166-0";"";"571-1-770166-0";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/1-770166-0?qs=m8myXnDJXpW%252BZqFFniy0cw%3D%3D";"";"";"";
"J2";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";
"J4";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";
"J13";"FEMALE 2x3";"CONN_03X2FEMALE";"2X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"CONN-11566";"FEMALE 2x3";
"JP1";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";
"L1";"4.7μH_SHIELDED_INDUCTOR";"4.7μH_SHIELDED_INDUCTOR";"1008(2520)";"4.7uH Inductor";"";"";"";"";"";"";"";"";"";"NDUC-14880";"";
"Q1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"";"";"";"";"TRANS-08049";"600mA/40V";
"R1";"68OHM-0603-1/10W-1%";"68OHM-0603-1/10W-1%";"0603";"68Ω resistor";"";"";"";"";"";"";"";"";"";"";"";
"R2";" ";"RESISTORAXIAL-0.3";"AXIAL-0.3";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";" ";" ";
"R3";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-08272";"2.2k";
"R5";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-08272";"2.2k";
"R40";"120";"120OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"120";
"U1";"AP63203WU-7";"AP63203WU-7";"SOIC_05WU-7_DIO";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"AP63203WU-7";"Diodes Inc";"";"";"";"";"";
"U2";"LTV-814S";"LTV-814S";"SOP254P1016X460-4N";"Optocoupler LTV-814S";"";"Optocoupler LTV-814S";"4.6mm";"Lite-On";"LTV-814S";"";"859-LTV-814S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-814S?qs=JzJdhgWJh%252BMQRrTS0RmA%252BA%3D%3D";"";"";"";
"U3";"ATTINY426-MU";"ATTINY426-MU";"QFN40P300X300X90-21N";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"0.9mm";"Microchip";"ATTINY426-MU";"";"579-ATTINY426-MU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATTINY426-MU?qs=pUKx8fyJudAatJqFKBSQfg%3D%3D";"";"";"";
"U9";"SP3485CN-L";"SP3485CN-L";"SOIC127P600X175-8N";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"1.75mm";"EXAR";"SP3485CN-L";"";"701-SP3485CN-L";"https://www.mouser.com/Search/Refine.aspx?Keyword=701-SP3485CN-L";"";"";"";
