"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"C1";"10uF";"10UF-1206-6.3V-20%";"1206";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-10057";"";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C4";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C11";"10nF";"10NF-0805-400V-20%";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"10nF";
"C12";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C14";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"3";"";"";"";
"H2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"3";"";"";"";
"HV";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"2";"";"";"";
"J2";"1-770166-0";"1-770166-0";"17701660";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"14.25mm";"TE Connectivity";"1-770166-0";"";"571-1-770166-0";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/1-770166-0?qs=m8myXnDJXpW%252BZqFFniy0cw%3D%3D";"";"";"";"";
"J3";"1-794073-0";"1-794073-0";"17940730";"Mate-n-lok,Header,plug,8way pin contact";"";"Mate-n-lok,Header,plug,8way pin contact";"13.49mm";"TE Connectivity";"1-794073-0";"";"571-1-794073-0";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/1-794073-0/?qs=d1jXZdVA37Fr5TRKsfZNLg%3D%3D";"";"";"";"";
"J4";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";
"J13";"FEMALE 2x3";"CONN_03X2FEMALE";"2X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"CONN-11566";"";"FEMALE 2x3";
"JP1";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"4.7μH_SHIELDED_INDUCTOR";"4.7μH_SHIELDED_INDUCTOR";"1008(2520)";"4.7uH Inductor";"";"";"";"";"";"";"";"";"";"NDUC-14880";"";"";
"Q1";"200mA/40V";"TRANS_PNP-PMBT3906|MMBT3906L";"SOT23-3";"PNP transistor";"";"";"";"";"";"";"";"";"";"TRANS-08052";"";"200mA/40V";
"R1";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-08272";"";"2.2k";
"R4";"100";"100OHM-0805-1/10W-5%-400V";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"100";
"R5";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-08272";"";"2.2k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R7";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R8";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R9";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R10";"120";"120OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"120";
"R11";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R40";"120";"120OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"120";
"SCL";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"2";"";"";"";
"SDA";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"2";"";"";"";
"SP";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"2";"";"";"";
"TACH";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"2";"";"";"";
"U1";"AP63203WU-7";"AP63203WU-7";"SOIC_05WU-7_DIO";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"AP63203WU-7";"Diodes Inc";"";"";"";"";"";"";
"U2";"ATTINY426-MU";"ATTINY426-MU";"QFN40P300X300X90-21N";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"0.9mm";"Microchip";"ATTINY426-MU";"";"579-ATTINY426-MU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATTINY426-MU?qs=pUKx8fyJudAatJqFKBSQfg%3D%3D";"";"";"";"";
"U5";"VO2223B-X007T";"VO2223B-X007T";"VO2223BX007T";"Triac & SCR Output Optocouplers 1A, 600V PhotoTRIAC SMD-8, UL, cUL";"";"Triac & SCR Output Optocouplers 1A, 600V PhotoTRIAC SMD-8, UL, cUL";"4.6mm";"Vishay";"VO2223B-X007T";"";"78-VO2223B-X007T";"https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/VO2223B-X007T?qs=r5DSvlrkXmLdAybzHjTr7g%3D%3D";"";"";"";"";
"U6";"TCMT1106";"TCMT1106";"SOIC127P700X230-4N";"Optocoupler Transistor O/P 1-CH";"";"Optocoupler Transistor O/P 1-CH";"2.3mm";"Vishay";"TCMT1106";"";"782-TCMT1106";"https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/TCMT1106?qs=iFB%2FIts7N%252BA3ecLP71cKjQ%3D%3D";"";"";"";"";
"U7";"TCMT1106";"TCMT1106";"SOIC127P700X230-4N";"Optocoupler Transistor O/P 1-CH";"";"Optocoupler Transistor O/P 1-CH";"2.3mm";"Vishay";"TCMT1106";"";"782-TCMT1106";"https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/TCMT1106?qs=iFB%2FIts7N%252BA3ecLP71cKjQ%3D%3D";"";"";"";"";
"U8";"BME280";"BME280";"LGA-8-2.5X2.5";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"";"";"";"";"";"";"";"";"";"IC-13090";"";"BME280";
"U9";"SP3485CN-L";"SP3485CN-L";"SOIC127P600X175-8N";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"1.75mm";"EXAR";"SP3485CN-L";"";"701-SP3485CN-L";"https://www.mouser.com/Search/Refine.aspx?Keyword=701-SP3485CN-L";"";"";"";"";
